Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F
Date,,,,,,,,,,
2010-01-04,418.5,426.25,413.25,415.75,140553.0,557.75,561.25,544.0,544.75,41278
2010-01-05,418.75,420.0,415.25,417.25,80967.0,553.0,561.5,552.0,556.75,36720
2010-01-06,421.75,422.0,416.0,418.0,96453.0,567.25,567.75,551.0,552.0,38503
2010-01-07,417.5,424.0,414.5,421.0,137395.0,557.75,568.0,556.0,566.5,33873
2010-01-08,423.0,423.75,415.0,417.5,137395.0,568.5,570.0,545.25,557.5,33873
2010-01-11,422.5,425.0,418.0,421.75,137395.0,572.5,575.0,563.75,569.0,33873
2010-01-12,392.5,419.0,392.5,419.0,137395.0,535.75,570.5,520.5,570.0,33873
2010-01-13,384.0,385.25,368.0,384.5,301566.0,537.0,538.0,519.25,534.75,60488
2010-01-14,381.0,382.75,376.5,382.25,150818.0,527.75,537.25,525.5,536.75,40114
2010-01-15,371.5,379.75,369.5,379.0,164273.0,510.0,525.75,509.25,525.25,42330
2010-01-19,369.25,375.25,367.75,371.5,125418.0,500.5,515.25,496.5,511.0,49469
2010-01-20,368.0,370.5,362.25,369.25,117028.0,497.5,501.5,485.25,501.0,48241
2010-01-21,372.0,372.0,364.0,369.0,117638.0,499.5,500.5,493.0,497.75,35457
2010-01-22,364.75,372.75,363.5,372.5,116246.0,498.5,502.0,491.5,500.5,30415
2010-01-25,367.75,369.25,365.25,366.75,83425.0,498.25,504.0,496.25,500.25,30539
2010-01-26,362.25,369.0,360.25,367.75,106613.0,494.0,500.5,491.5,497.25,30418
2010-01-27,358.25,363.5,358.25,362.25,86413.0,483.75,495.0,483.0,493.5,42885
2010-01-28,361.75,363.0,357.75,359.0,104224.0,487.0,489.25,482.75,485.75,35797
2010-01-29,356.5,363.5,355.25,361.75,131890.0,474.0,488.5,473.0,486.5,62568
2010-02-01,359.0,360.75,355.5,356.25,112634.0,474.75,483.75,473.0,476.0,57026
2010-02-02,365.0,367.25,358.75,359.0,146992.0,487.25,492.5,474.25,474.25,65546
2010-02-03,353.0,368.25,352.75,365.0,171750.0,469.0,494.75,468.25,487.5,61505
2010-02-04,354.0,359.0,349.0,355.75,163425.0,475.75,482.0,466.5,471.0,50470
2010-02-05,351.5,355.5,347.5,354.25,164659.0,473.25,476.5,467.0,475.0,55763
2010-02-08,356.0,362.0,353.5,354.0,148576.0,484.0,489.0,476.25,479.5,55118
2010-02-09,358.5,363.5,354.75,355.75,196600.0,482.25,488.5,476.75,483.0,63813
2010-02-10,361.75,365.5,355.25,358.75,169470.0,496.75,503.0,480.75,483.5,87561
2010-02-11,363.25,365.0,359.5,361.75,134275.0,493.5,501.5,486.5,497.75,54328
2010-02-12,361.5,364.25,357.5,363.5,101557.0,486.5,493.75,480.25,493.5,40776
2010-02-16,367.25,368.75,362.0,362.25,126169.0,505.0,509.0,488.25,490.0,59297
2010-02-17,360.0,368.0,359.5,367.0,86665.0,494.75,504.75,492.5,504.25,42283
2010-02-18,357.25,361.5,355.5,360.5,98889.0,485.0,499.5,483.0,495.0,40668
2010-02-19,360.0,360.5,353.25,355.0,97358.0,489.75,490.5,477.5,481.0,41882
2010-02-22,371.5,376.75,360.0,360.0,192526.0,501.25,504.0,485.25,489.75,48291
2010-02-23,367.75,373.0,367.25,370.0,113231.0,491.75,501.5,491.0,499.25,34885
2010-02-24,375.25,376.0,367.5,367.75,73542.0,500.25,502.25,489.5,492.0,27762
2010-02-25,372.25,375.0,369.25,374.75,77961.0,489.75,500.5,488.0,499.0,23569
2010-02-26,378.0,380.0,372.0,372.0,47785.0,506.5,507.0,488.5,489.5,6934
2010-03-01,370.75,381.0,369.25,378.0,32859.0,492.75,513.0,485.0,508.0,7920
2010-03-02,370.5,373.5,365.25,371.0,28409.0,492.0,497.25,487.0,493.0,5407
2010-03-03,375.75,377.75,366.75,370.0,24319.0,503.5,503.75,494.75,497.25,2932
2010-03-04,372.0,375.0,369.25,375.0,20347.0,490.5,502.25,488.0,501.5,2358
2010-03-05,364.75,377.0,364.25,373.0,16347.0,482.25,496.75,482.25,493.0,1902
2010-03-08,364.5,367.75,362.25,367.0,11798.0,484.5,487.25,483.25,484.0,1264
2010-03-09,358.75,364.5,358.0,364.5,11569.0,478.5,483.25,478.25,483.0,739
2010-03-10,355.5,360.5,352.5,359.0,6883.0,470.75,478.0,468.75,478.0,462
2010-03-11,355.5,357.75,352.0,356.75,4818.0,468.5,470.75,466.0,469.0,221
2010-03-12,354.0,357.25,353.25,356.25,71322.0,472.25,471.75,469.5,469.5,24060
2010-03-15,363.25,366.25,362.0,365.0,74189.0,479.25,487.0,476.75,484.75,20569
2010-03-16,366.75,369.0,363.0,363.75,75425.0,487.0,489.0,479.5,480.25,26171
2010-03-17,374.0,374.5,365.0,367.75,87013.0,496.0,498.25,485.25,487.75,34563
2010-03-18,376.0,376.5,369.0,373.0,83044.0,489.25,494.75,484.5,494.5,34830
2010-03-19,374.5,376.25,371.5,375.25,58909.0,483.75,490.75,482.5,489.25,21371
2010-03-22,370.75,376.25,370.5,373.5,73826.0,486.5,492.75,482.25,484.25,23468
2010-03-23,362.75,372.25,362.5,371.0,104624.0,476.75,489.0,475.75,485.25,31447
2010-03-24,365.0,366.5,359.0,363.25,77811.0,476.0,478.75,472.0,477.0,24110
2010-03-25,355.0,366.5,354.0,364.5,102042.0,466.5,478.25,464.5,475.5,33361
2010-03-26,356.25,358.0,355.0,355.25,67136.0,464.75,468.75,464.0,466.25,26997
2010-03-29,357.0,360.0,354.75,356.0,89062.0,464.75,471.25,464.0,465.5,32286
2010-03-30,354.5,359.0,351.75,356.5,134295.0,472.0,473.75,462.25,464.75,34897
2010-03-31,345.0,354.5,344.25,353.75,126262.0,450.5,474.25,450.0,472.0,58287
2010-04-01,344.5,349.0,343.5,345.25,589.0,454.75,457.75,449.5,452.5,68
2010-04-05,345.75,347.25,343.75,344.75,79432.0,453.5,459.5,447.0,456.0,20682
2010-04-06,346.5,349.75,344.25,345.75,89924.0,463.5,470.0,448.75,454.0,46216
2010-04-07,356.5,359.0,343.75,346.75,186180.0,475.25,479.75,456.5,463.75,55200
2010-04-08,348.25,355.75,346.25,355.0,146831.0,469.25,474.75,467.0,474.25,48344
2010-04-09,345.75,352.0,344.0,348.25,112702.0,465.75,478.75,462.5,469.5,48279
2010-04-12,348.25,351.25,345.5,346.5,138115.0,467.75,474.5,466.0,469.0,79561
2010-04-13,352.5,353.5,345.25,347.75,183842.0,476.0,476.5,463.5,467.0,64576
2010-04-14,358.0,363.75,351.5,352.0,223855.0,474.75,482.0,470.5,475.25,69661
2010-04-15,363.25,363.75,356.0,357.5,115369.0,480.25,482.5,472.5,474.25,41466
2010-04-16,364.0,365.0,358.5,362.0,109384.0,490.5,491.25,476.25,479.75,39879
2010-04-19,347.75,363.0,347.75,362.5,107934.0,467.75,489.0,466.75,489.0,35943
2010-04-20,355.5,356.5,349.25,349.25,96888.0,486.0,487.25,468.5,469.5,36954
2010-04-21,359.25,363.25,355.25,355.25,104079.0,487.25,490.0,481.75,486.75,22042
2010-04-22,362.25,363.0,356.0,358.75,73359.0,498.5,499.5,480.75,486.5,18974
2010-04-23,353.0,362.5,352.0,360.75,98676.0,493.25,499.25,489.75,498.0,28265
2010-04-26,352.25,359.5,352.0,353.0,92137.0,476.0,502.5,449.0,492.5,15952
2010-04-27,347.5,353.5,345.0,352.25,85029.0,478.25,481.25,471.25,476.75,14215
2010-04-28,357.0,361.75,348.25,348.5,71517.0,476.25,484.0,470.75,477.0,18448
2010-04-29,360.5,370.0,356.75,356.75,78456.0,484.5,495.25,477.0,477.0,15673
2010-04-30,366.25,366.75,360.25,361.0,26530.0,491.75,493.75,482.0,484.0,10948
2010-05-03,362.75,369.0,360.5,366.0,17483.0,490.0,495.75,480.5,493.5,6940
2010-05-04,360.0,362.75,353.5,362.25,16371.0,499.75,500.5,483.0,489.0,4678
2010-05-05,364.75,364.75,354.5,360.0,14167.0,501.0,501.5,493.0,500.5,4338
2010-05-06,364.0,372.75,361.0,365.0,10329.0,497.25,502.0,490.0,500.0,2863
2010-05-07,364.75,367.75,360.75,362.25,5188.0,500.25,506.25,490.0,492.5,2333
2010-05-10,363.0,369.75,361.75,363.75,4549.0,482.5,502.5,482.5,498.0,776
2010-05-11,369.75,370.0,358.0,362.0,1923.0,483.75,487.25,481.0,482.25,213
2010-05-12,371.75,379.0,367.75,369.5,3604.0,482.75,496.0,482.0,485.0,342
2010-05-13,366.5,373.75,365.75,370.25,1326.0,471.0,479.25,472.0,479.25,542
2010-05-14,356.75,366.5,356.0,366.5,127487.0,463.5,465.5,463.0,465.5,34507
2010-05-17,356.0,364.5,355.5,364.0,112705.0,469.0,474.5,466.25,471.0,32094
2010-05-18,359.75,362.75,357.0,358.0,104868.0,467.75,473.5,466.0,469.0,32717
2010-05-19,359.25,363.25,353.5,359.75,115468.0,469.25,472.0,465.25,467.75,28939
2010-05-20,362.0,363.0,354.25,360.0,112279.0,469.75,472.25,461.25,470.5,42108
2010-05-21,369.0,372.5,359.0,362.0,147199.0,472.0,475.0,466.5,469.5,32362
2010-05-24,371.0,372.75,367.75,368.5,96250.0,467.5,476.0,466.0,473.75,32240
2010-05-25,364.25,370.25,362.5,369.0,122528.0,460.5,466.75,456.25,465.5,41281
2010-05-26,371.5,372.0,366.25,367.25,97015.0,461.75,472.0,459.0,462.75,49496
2010-05-27,373.25,373.75,368.25,369.5,97272.0,467.75,473.5,458.0,460.5,30745
2010-05-28,359.0,373.0,358.25,372.0,150749.0,457.75,473.5,456.5,468.5,66816
2010-06-01,354.0,361.0,353.0,358.75,137372.0,450.75,461.25,448.75,457.75,47763
2010-06-02,348.5,357.5,347.75,354.25,127867.0,442.5,454.5,442.0,450.0,61748
2010-06-03,349.5,351.5,344.5,349.0,141195.0,441.75,448.0,440.5,443.5,51410
2010-06-04,340.0,350.75,339.75,350.0,139239.0,435.75,444.25,435.25,442.5,54534
2010-06-07,335.75,341.0,335.5,340.75,140946.0,432.25,438.5,431.25,435.25,47975
2010-06-08,337.25,340.25,335.0,336.5,171038.0,432.25,436.5,431.25,432.25,57042
2010-06-09,338.25,341.25,336.5,338.0,144352.0,428.0,436.0,425.5,432.75,62604
2010-06-10,343.25,348.0,336.0,338.0,161773.0,433.25,437.5,426.75,428.0,62662
2010-06-11,349.5,349.75,342.75,343.25,106329.0,440.75,449.0,427.5,433.0,92624
2010-06-14,353.75,354.5,348.5,349.0,112712.0,451.5,454.75,441.75,442.75,72669
2010-06-15,353.75,355.0,350.75,352.0,99101.0,451.75,456.25,445.25,451.0,41286
2010-06-16,356.25,360.5,352.75,353.5,117993.0,461.25,468.0,451.0,451.5,70631
2010-06-17,357.5,360.0,354.25,356.25,101835.0,462.75,465.5,453.5,461.0,51215
2010-06-18,360.75,364.25,355.75,356.75,116128.0,461.75,470.0,458.75,462.5,51060
2010-06-21,355.0,367.25,351.25,363.0,149983.0,462.0,469.25,455.25,462.75,42360
2010-06-22,351.5,356.25,348.25,355.0,106443.0,460.75,463.75,455.75,461.25,28367
2010-06-23,346.5,351.75,345.75,351.25,100134.0,462.25,468.5,458.25,459.75,39445
2010-06-24,344.75,348.75,342.25,346.5,125609.0,463.0,470.0,461.0,461.25,32322
2010-06-25,340.5,346.25,339.5,344.75,102191.0,456.25,464.75,455.25,462.75,24162
2010-06-28,333.75,339.75,332.0,339.5,123243.0,449.5,455.5,444.0,455.5,32821
2010-06-29,325.0,334.5,324.5,333.5,116715.0,442.0,448.5,440.0,448.25,25205
2010-06-30,354.25,358.0,325.0,325.25,65209.0,464.75,477.25,441.5,441.5,17201
2010-07-01,365.5,367.25,351.5,354.0,17351.0,484.0,486.0,461.0,464.25,9964
2010-07-02,364.0,366.25,361.5,363.5,19278.0,487.75,492.0,481.25,482.5,6254
2010-07-06,360.0,371.25,359.25,362.25,17886.0,492.75,511.0,487.75,487.75,5525
2010-07-07,370.75,371.25,359.75,360.0,8953.0,515.75,517.0,492.0,492.0,4025
2010-07-08,377.5,378.5,370.0,370.75,7471.0,534.0,534.5,510.0,515.0,3901
2010-07-09,375.25,378.0,374.25,375.75,7015.0,523.5,529.75,519.75,529.75,2714
2010-07-12,371.25,376.5,370.0,375.0,6507.0,521.25,524.5,520.0,523.5,1659
2010-07-13,366.75,374.25,366.0,369.5,4930.0,535.75,536.75,520.0,520.0,332
2010-07-14,375.25,376.75,365.75,366.0,70640.0,548.25,553.25,533.5,534.5,59964
2010-07-15,392.5,397.75,383.0,383.5,87390.0,596.25,598.5,555.5,556.75,93931
2010-07-16,394.75,395.75,387.5,391.25,69731.0,587.25,597.75,578.75,595.5,69220
2010-07-19,381.5,391.25,376.75,386.25,72718.0,582.25,597.75,575.25,582.5,51738
2010-07-20,374.0,380.25,373.25,379.75,64362.0,577.0,581.0,572.75,580.5,37416
2010-07-21,379.75,381.5,373.25,374.0,47803.0,588.25,594.0,574.0,577.0,48904
2010-07-22,376.5,387.0,374.0,379.0,68229.0,596.5,610.0,583.75,587.0,62992
2010-07-23,371.25,379.5,369.75,375.25,58696.0,596.25,603.75,593.25,596.0,35816
2010-07-26,364.0,371.75,361.75,369.0,75192.0,589.5,596.25,584.5,596.25,30102
2010-07-27,362.75,369.5,362.0,363.5,48460.0,595.0,604.0,582.5,587.0,52862
